# Logfile created on 2015-06-08 17:03:05 +0800 by logger.rb/44203
I, [2015-06-08 17:03:05#10850]  INFO -- : SUCCESS, Image /ROR/image/admin/astronaut.jpg Create Success!!
I, [2015-06-12 03:20:24#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/90/00001.jpg Create Success!!
I, [2015-06-12 03:20:25#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/29/00001.jpg Create Success!!
I, [2015-06-12 03:20:25#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/122/00001.jpg Create Success!!
I, [2015-06-12 03:20:25#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/31/00001.jpg Create Success!!
I, [2015-06-12 03:20:25#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/87/00001.jpg Create Success!!
I, [2015-06-12 03:20:25#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/145/00001.jpg Create Success!!
I, [2015-06-12 03:20:25#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/84/00001.jpg Create Success!!
I, [2015-06-12 03:20:25#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/178/00001.jpg Create Success!!
I, [2015-06-12 03:20:26#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/134/00001.jpg Create Success!!
I, [2015-06-12 03:20:26#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/50/00001.jpg Create Success!!
I, [2015-06-12 03:20:26#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/111/00001.jpg Create Success!!
I, [2015-06-12 03:20:26#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/173/00001.jpg Create Success!!
I, [2015-06-12 03:20:26#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/60/00001.jpg Create Success!!
I, [2015-06-12 03:20:26#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/128/00001.jpg Create Success!!
I, [2015-06-12 03:20:26#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/11/00001.jpg Create Success!!
I, [2015-06-12 03:20:26#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/86/00001.jpg Create Success!!
I, [2015-06-12 03:20:27#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/37/00001.jpg Create Success!!
I, [2015-06-12 03:20:27#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/101/00001.jpg Create Success!!
I, [2015-06-12 03:20:27#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/183/00001.jpg Create Success!!
I, [2015-06-12 03:20:27#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/100/00001.jpg Create Success!!
I, [2015-06-12 03:20:27#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/189/00001.jpg Create Success!!
I, [2015-06-12 03:20:27#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/98/00001.jpg Create Success!!
I, [2015-06-12 03:20:27#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/34/00001.jpg Create Success!!
I, [2015-06-12 03:20:27#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/117/00001.jpg Create Success!!
